,biden,,trump,,obama,,gates,,sanders,,mandela,,king,,johnson,
biden,,,20.600096893310546,0.9376135086615756,19.686652755737306,2.1085108799039745,26.3574161529541,4.098390163813881,17.792346954345703,2.4200287140418086,32.28589630126953,2.41988724354556,29.157362747192384,3.578407289548247,42.7006290435791,8.325064839683039,
trump,25.379623031616212,2.419971189483612,,,21.91483917236328,3.6235148094894183,32.54759292602539,4.863553108883037,20.229293823242188,2.9062344141134417,43.10098876953125,2.7640024800255922,35.18226432800293,5.083170492826285,52.91797790527344,10.60311413414714,
obama,24.104707717895508,2.2395952505118344,21.44248809814453,1.0702983753032722,,,27.456163024902345,4.248031237054522,18.24664440155029,2.5050003629547484,33.16797294616699,2.502166304128284,30.18460350036621,3.8138003881568823,45.92200393676758,8.769083842766163,
gates,26.18633575439453,1.5900679224417678,24.29211311340332,1.1805011604658295,22.297439193725587,1.4635173015625746,,,19.3645378112793,2.580043705174327,30.438566589355467,2.401854336946636,29.34487838745117,3.5871489035149717,45.623338317871095,8.437674292733808,
sanders,24.900851821899415,1.9219090074972767,22.213166809082033,1.0817892164507796,21.17557601928711,2.162467496916222,27.41882781982422,4.185271883189087,,,31.536130905151367,2.1309603134815402,29.531435775756837,3.5687400798510316,45.87878952026367,8.750916311996345,
mandela,29.63698844909668,2.1107768469155275,26.703573989868165,1.4019800210907383,25.14582061767578,1.9902413532077685,29.26448783874512,4.176012344418116,20.0592960357666,2.3056677792020155,,,29.63846626281738,3.2132067369600255,48.00876312255859,9.478639587994252,
king,27.100405502319337,2.0887875400432687,23.718024826049806,1.4775246127714874,22.546947860717772,1.8977981537668789,28.163018798828126,3.882330729917216,19.340024948120117,2.2789102624636577,31.310276412963866,2.8266991726327975,,,48.12100601196289,9.60626066774607,
johnson,24.67568130493164,1.5867382450652092,24.200056076049805,0.8162447975065769,21.687275314331053,1.746550830318148,26.68437271118164,4.0187764057586675,18.921711349487303,3.1613534607614016,29.86999969482422,2.3428850065186295,28.312624740600587,3.024521715436063,,,
