,mandela,,johnson,,king,,biden,,gates,,sanders,,obama,,trump,
mandela,,,591.2103917795416,145.27122484954768,447.7992067173524,28.41972636057885,548.0720889636993,59.660637898526154,510.9635280072707,55.78084733839484,523.0334313231443,78.12554642714149,578.3145149570515,40.55886492616493,416.8765848470148,9.456313407272692,
johnson,323.83231212452375,59.905032727850646,,,259.39949590080084,20.893279767981543,254.79011644888735,46.71038453141094,310.6157645430607,27.531440028671945,284.08293228028543,29.72632794017251,252.67160690731637,9.450816993274941,215.81435099871467,11.408351012399772,
king,633.777420540445,114.37814626328341,540.8607277119193,157.64943828959954,,,431.8891726777159,61.023510702046245,491.8165364954813,79.85352926136609,559.7367455614697,94.35691488848235,469.45483018196614,32.86465967036576,331.2176611639226,19.5540259780614,
biden,471.3372932490832,108.98356685915186,468.4975311678805,149.1997859516028,371.37339541408636,49.13381999115651,,,425.4287285981448,78.19277031508261,454.41545287280536,87.3946467158485,295.29923585930567,16.71510696036769,214.07030038476586,6.586274540613773,
gates,294.7789566562219,68.11664128504836,331.3561381415902,103.96597963458728,236.08802887637236,16.528865358635304,253.08762399848987,33.63447540297988,,,305.6633293264929,23.99881526566812,261.64885553086333,17.41463653127696,203.6999857043028,13.645312961111417,
sanders,426.2308699648183,72.77046786684099,373.8448092707005,92.45120257501745,366.4598378624181,39.74092342468481,341.3879615240381,45.93648551015191,388.13356474703903,37.076619526780604,,,352.80269292040066,20.475803072268835,258.49949936277403,11.090677585896813,
obama,494.8837002875687,60.636856309281264,422.6195301959567,113.81769260425027,425.6037009855052,74.68459314269946,327.48276130983544,39.904781478274266,398.6908831837215,28.338966100452527,443.5919514194819,109.75357209153796,,,223.04024337563783,13.922923201853184,
trump,756.7789550149909,149.06215119570106,652.0872253395349,209.45493177582605,526.9907843293839,75.17415809539646,410.97770079425584,55.782268656324,542.1668244233958,64.94659159946518,649.6238628505128,168.9000577366553,398.4734980051715,45.537286438843466,,,
