,mandela,,johnson,,king,,biden,,gates,,sanders,,obama,,trump,
mandela,,,547.1101357342825,78.78317200342762,450.02243263986855,48.66078523778402,624.9439929170632,55.943834878911254,496.5668078294462,86.97801532240067,526.8813026782652,92.50088951594032,664.9855708808137,66.32586782755125,541.2192103691309,16.665885689525567,
johnson,263.48437368003016,53.410602089907144,,,228.24902093410444,33.18025702824999,248.6675899425695,52.6215469319692,277.60899762487696,61.03113987491003,248.70924180017832,32.09228673009412,248.06327028763008,19.081449475137063,247.62287309414273,22.857221749408033,
king,593.3013557665749,93.8945033912623,476.6021153328179,109.52809650378262,,,444.3952131175558,63.434207219344295,457.3783514314866,92.74651277925638,533.7483199711694,79.30937287662516,504.39529597096254,41.35822733807593,391.7289719877615,27.340843418560265,
biden,420.6520775179347,89.77627358069937,426.2472082957121,116.96869220034979,362.9762035596271,51.0615508547547,,,422.91584245309775,113.10056885327258,447.0038715819217,66.2314070986596,310.0457368949619,20.672042777196776,251.54754520980498,22.253981043904446,
gates,245.7549505122627,74.67792313249085,289.3011298581807,75.75843486808884,212.07696519489804,23.240034032694915,254.15359934326315,43.26683357511181,,,275.12500804348167,13.90296682982393,265.61773059151443,29.054497013636162,228.17454825522674,21.807240376721932,
sanders,372.3445119833399,74.47353555670853,308.0158104769522,63.03843433698007,345.8557672670455,52.60802315160916,344.2192565483248,50.61458710210086,360.19184992694574,54.604439578622674,,,370.73402605362475,24.067516325749818,294.08103921651184,17.760758033254472,
obama,438.9531702798534,47.798108442646566,351.43597329320124,67.69858167853661,414.3993863413081,94.34138005632107,321.84749177649525,40.826483870865545,350.38902204970526,36.2534289396427,410.56279664503853,100.26605307834058,,,242.20632951359133,17.13748928605362,
trump,703.9800176151114,90.28686392439192,590.8966205023772,166.23244008056142,510.3548981925836,85.44283019892613,421.1274502462245,54.151481613728926,510.5321801899556,94.68989771215455,625.4228714115984,143.30514354643492,396.2745745530236,39.236100604269176,,,
