,biden,,trump,,obama,,gates,,sanders,,mandela,,king,,johnson,
biden,,,22.48462677001953,0.9038725162000973,21.278854370117188,1.9421799614926047,26.31787567138672,3.7401351315983153,18.388526916503906,2.5800080506363954,29.232577514648437,2.40628330529865,28.16924057006836,3.0489603526757776,42.49392852783203,7.846117223883462,
trump,23.270316314697265,1.724470162282305,,,20.42452392578125,2.3707721239308857,26.385991287231445,3.8418833022335175,17.962907791137695,2.24463769413548,31.01120376586914,2.434250702372105,28.479537200927734,3.1509065135239083,42.929361724853514,8.043028482789703,
obama,24.612425231933592,1.7901752173627996,22.58303298950195,0.9773042193721454,,,26.37364959716797,3.7482685417865547,18.282742309570313,2.5589138306798964,29.389400482177734,2.3645438796020346,28.099742889404297,3.0701122154688334,43.02613754272461,7.865517991952284,
gates,27.46900329589844,1.8386675687743856,25.595395278930663,1.1556269532541548,23.40097885131836,1.8307486648877742,,,19.92283821105957,2.834991067970643,29.608877182006836,2.5139912940984397,29.537552642822266,3.3218184896062275,46.23332901000977,8.416610612439808,
sanders,25.162652206420898,1.7313018044506325,23.264661026000976,0.9526505515599984,21.819437408447264,1.9578699045973988,26.835951614379884,3.833908996371115,,,28.707289505004884,2.3235968682647883,27.963724899291993,2.924787547875954,43.30012512207031,7.927926359848349,
mandela,28.535280609130858,1.9667385643600388,26.377307510375978,1.2524731726649898,24.44652099609375,1.8880074875356558,28.61643257141113,3.840511176457858,19.630671310424805,2.5088190040584646,,,28.633133316040038,3.1170099211313627,45.80378341674805,8.447622976349633,
king,25.393465423583983,1.760298483028753,23.510837173461915,1.0948231984042083,21.67722053527832,1.7606303383205342,26.21125946044922,3.6296043461462792,18.454959106445312,2.460096625225923,28.032350921630858,2.503557640961281,,,42.86114501953125,7.856370558824918,
johnson,26.197674560546876,1.7899587812779036,24.75324821472168,0.9927222563469318,22.756196975708008,1.898683216407772,27.295293045043945,3.799493887806184,19.342919921875,2.8418671800102304,28.928657913208006,2.395127646999202,28.62452163696289,3.0095405814073586,,,
