,biden,,trump,,obama,,gates,,sanders,,mandela,,king,,johnson,
biden,,,21.241217041015624,0.8745501113932406,20.15120086669922,1.9395246522200849,25.724961853027345,3.8429232897429246,17.844921684265138,2.5065964159151877,30.22568550109863,2.3469006079305696,28.11389503479004,3.1825588413517574,41.710110092163085,7.890636401537378,
trump,23.456565856933594,1.8828866291091855,,,20.49489402770996,2.793902338934836,28.040555572509767,4.169309292320438,18.329408264160158,2.2626160704140132,34.65419044494629,2.6371955983625397,30.38933219909668,3.740469693524986,45.3991584777832,8.720646064551,
obama,23.596354293823243,1.886520409368353,21.405971908569335,0.9719896622727195,,,26.09747734069824,3.9194705428215784,17.838710594177247,2.491069291680355,30.541586303710936,2.323939389797401,28.41067581176758,3.294080422506701,43.00920639038086,8.01232633767829,
gates,26.062567138671874,1.6504983052759912,24.29804916381836,1.109435659059141,22.38947868347168,1.6789961428439009,,,19.267475128173828,2.6634386033687556,29.2464542388916,2.3761529360007128,28.659061431884766,3.296258771624921,44.52308349609375,8.132081461335671,
sanders,24.337363052368165,1.665794299013429,22.310296630859376,0.9574562664410529,20.99069480895996,1.9448259222131135,26.405936813354494,3.936609779196932,,,29.52764778137207,2.2100620641800135,28.03957748413086,3.068521406482443,43.13307266235351,8.07181813749361,
mandela,28.779987716674803,1.9858511997009451,26.369800186157228,1.313700616467425,24.5412296295166,1.870728742149975,28.604929733276368,3.9812306121527437,19.648649978637696,2.3967427007631534,,,28.743009567260742,3.093189271480806,46.147936248779295,8.662690818764913,
king,25.221581268310548,1.7792396088820452,22.879169845581053,1.1869953814140517,21.325291442871094,1.700876503166176,26.13271598815918,3.6590755754528552,18.2676082611084,2.3200082427266775,28.535934066772462,2.540590663629083,,,43.320027923583986,8.201123245373433,
johnson,25.027578353881836,1.6147285519616867,23.998406600952148,0.8754193900751022,21.889589691162108,1.7704978517912946,26.541899490356446,3.7711402974234596,18.848718643188477,2.8683634882448037,28.906687927246093,2.325960353533653,27.930794143676756,2.904822303795892,,,
