,mandela,,johnson,,king,,biden,,gates,,sanders,,obama,,trump,
mandela,,,320.92834689499324,21.223134450046018,274.669752372199,37.498653464642636,441.0739600520945,27.579761415345537,304.8203950716267,63.86110488597182,347.2646200019785,99.46729622933195,474.1379718518672,74.17640116095902,453.71087318482785,17.19983673956441,
johnson,149.06138229640564,32.36301288240164,,,146.89463255063785,29.41943039269682,175.04575602647125,38.83305637655649,222.14119945972593,151.7217617717614,184.70149129190904,87.72727881010259,174.31550192976738,17.439522023013833,225.68427214079531,50.50373799059496,
king,341.5869576792624,57.5291800661546,271.88646841574166,35.91104366306197,,,299.3642186029823,40.53729996762066,266.77033349172524,53.15035614720982,330.8493418363739,67.03238630289312,350.56655464641165,27.464460978884816,339.69043433805314,29.241261604120194,
biden,229.10468932774552,47.46180831146596,242.35609093792144,47.14934613952272,227.02525878328763,18.13783858811273,,,278.6976930217216,96.41371461927807,285.6709921049834,41.557747164615414,256.33314565344733,84.29980736653309,241.39921617383732,78.76760112904066,
gates,145.9748747131633,56.821833480050586,168.33497775242938,41.04984118844032,131.98122350477647,19.676655952009003,184.83623201122413,46.267593273226716,,,178.53701686243713,19.824181116729353,187.0828945952115,25.729620748251822,186.5551104301694,20.65539647701987,
sanders,219.904441056484,45.56076097529111,178.00911273088175,23.986407454158954,210.7350503067514,31.74467683678261,238.55804948876664,42.69164157982988,224.5440606330592,36.20466573005464,,,266.99234242803266,15.255488682899099,240.38294444156435,21.694213788681772,
obama,254.99823550208626,43.53263077867711,193.14835663138751,27.312113701607146,250.39561827699643,52.13059508729052,219.41867331631795,31.018507477941476,213.33438350600753,23.362958299851453,246.0321026138819,58.52327339300735,,,194.55903982048957,17.02436243519239,
trump,375.08891288269245,37.24494404833779,310.95855461833526,62.53042450780224,291.67169956023525,45.06799638575735,278.2156620463016,30.748536097076816,298.5255706260729,61.45911138456166,349.52552056429255,57.19566351408906,245.43715288034304,9.049533250924213,,,
