,mandela,,johnson,,king,,biden,,gates,,sanders,,obama,,trump,
mandela,,,617.9203221997293,128.49215215570155,487.1542652830704,38.92062377280021,616.954014022208,62.9027565330422,547.356979295361,69.50296616388052,564.2983297229546,81.56339250074714,655.4846068476322,51.696196893856445,488.70701756204653,12.068536104867853,
johnson,322.08327460253105,58.778508734838304,,,266.52298238364074,26.771395759351694,269.6162553235721,50.98726748041939,321.71982502055283,38.96779483137035,287.0819364200925,27.288095354702197,268.6232748952491,14.137084926335753,239.04695998529567,15.312519684832276,
king,670.3987980384018,111.89392608798022,559.0592539159563,148.66762766706836,,,470.12309882766533,66.3773437534705,515.9059559843192,87.72800893394924,593.7225940473237,96.91617592034302,517.5835596317493,38.89191692371423,371.72874430502173,23.1999179487953,
biden,496.57201741647106,110.12162866157954,492.26165207420445,147.78060849648958,400.80354399413136,57.23813422357611,,,459.0450926293151,94.73590755646363,489.65720705390055,90.0809209464002,319.5957638030703,16.876654397386694,238.99597790922502,10.205180720883366,
gates,297.85852072495186,73.98042662061111,337.2447327307716,97.63334938188297,245.17119801460882,20.243074149885466,271.8213016864256,37.555840884031404,,,318.1838926878419,21.901111263904216,280.89063753952473,21.821841885220692,225.15204417124525,16.898198308423424,
sanders,439.088893060633,77.80628521308883,378.04885395110387,85.53370270650055,387.7227093678964,48.21655228876549,368.3627292026291,49.524094257289256,408.109963324549,46.40848264178595,,,385.5631250981277,23.06309272664682,287.71492816389673,13.997967431420083,
obama,517.3796375334019,55.66470625064922,430.64037696170004,106.39343983256093,456.27060965746523,88.87492273556784,348.7330663231369,42.1194695696818,414.2492577997699,34.49842401633465,467.3194117224811,113.59499523452823,,,242.00938820920624,16.29065204775484,
trump,814.2298841160459,139.92360445108196,688.4375724954655,210.5521172578923,573.3699210962541,92.00760480134365,446.63301016872697,57.40141074650637,583.4487804679646,82.48870851436568,699.0663017579867,180.66431316326634,425.7817085326015,49.316815718782586,,,
