,biden,,trump,,obama,,gates,,sanders,,mandela,,king,,johnson,
biden,,,21.183883666992188,1.033308708435011,20.13872871398926,2.3579334529754448,27.978194427490234,4.488895778854622,18.41672134399414,2.533583280858798,35.04167251586914,2.5930009855768725,31.109194564819337,4.090855324766634,45.46903076171875,9.180138223117611,
trump,28.07397804260254,3.0730276998030956,,,24.072247314453126,4.629652897230727,37.72642059326172,5.75996749702125,22.667205810546875,3.7644290531123046,52.84052200317383,3.0246422799666046,41.10345306396484,6.738072302691939,62.442717742919925,13.046767174719252,
obama,26.099963760375978,2.7134563805276404,23.142453002929688,1.2417259607650488,,,30.121698760986327,4.727093400774175,19.69209403991699,2.778593249908923,37.06541137695312,2.8458423950335656,33.4108211517334,4.543186123555143,51.182577514648436,9.90941048905337,
gates,27.16099739074707,1.7253876055312212,24.878359222412108,1.3214734842548146,22.911357879638672,1.441054310410767,,,19.933354568481445,2.5521273174735093,31.912145614624023,2.4790946112658188,30.702019882202148,3.950891993714823,48.291036224365236,9.210059880269867,
sanders,26.831088256835937,2.349370502752832,23.46534881591797,1.3069172727311653,22.567905807495116,2.5493138363087087,29.68339958190918,4.576009183564641,,,34.826243209838864,2.1137346681716895,32.382804489135744,4.275584065320261,51.15882873535156,9.753591833085673,
mandela,31.39786376953125,2.326770828536398,27.944333267211913,1.5298236980439484,26.473764419555664,2.1519645426195373,30.84136619567871,4.474914555820536,21.01175003051758,2.4299960622108774,,,31.600320434570314,3.594957739192178,51.73552474975586,10.699595834150937,
king,30.26037940979004,2.4977343981420987,25.79404525756836,1.8235938049946707,24.78311958312988,2.2511059440659116,31.232596588134765,4.32791925502526,21.316713333129883,2.5084274411362535,35.996205520629886,3.1955235256889636,,,55.61845092773437,11.669209201458004,
johnson,25.42619400024414,1.7128495855240349,25.174181365966795,0.8182889824738703,22.32960090637207,1.7868237730012047,27.7499137878418,4.255791253156872,19.599636840820313,3.5024634233046332,31.327691650390626,2.511902558717069,29.529706954956055,3.2000926808055015,,,
