Subject,Fine-tuning,Speech Category,Transcript ID,AVG Perplexity,Dev. STD
Trump,interview,interview,5,133.76063790280398,215.55308501182884
Trump,interview,interview,4,140.53279601939903,237.03848956234427
Trump,interview,interview,3,143.34698483796834,192.46958514284623
Trump,interview,interview,2,116.31722989295022,162.43595538267894
Trump,interview,interview,1,142.40716202689873,224.57258470751424
Trump,interview,rally,10,161.65503930843656,291.13042992011447
Trump,interview,rally,9,168.53888742953268,282.78433178361433
Trump,interview,rally,8,168.43548629071717,298.60374237379045
Trump,interview,rally,6,180.91658165650557,469.44154171305286
Trump,interview,rally,7,162.69665892541553,248.3391802575201
Trump,rally,rally,10,131.73136721015658,256.8099945822396
Trump,rally,rally,9,130.09562368011254,233.47352828694466
Trump,rally,rally,8,125.90825409495245,201.48912804963558
Trump,rally,rally,6,130.40531097409652,356.15094496803385
Trump,rally,rally,7,114.92184314210847,228.64911226970898
Trump,rally,interview,5,148.909859349755,195.97138659094415
Trump,rally,interview,4,147.7504278026855,221.15828089757474
Trump,rally,interview,3,164.0243258234765,264.39371235671314
Trump,rally,interview,2,135.9240114044499,231.14966560093768
Trump,rally,interview,1,165.70686658610663,234.24074198496587
