Subject,Fine-tuning,Speech Category,Transcript ID,AVG Perplexity,Dev. STD
Trump,interview,interview,5,119.3358588749464,449.53019486523306
Trump,interview,interview,4,120.83730751365272,273.8599376696896
Trump,interview,interview,3,100.51993145613548,181.9992412309034
Trump,interview,interview,2,89.35055532105267,149.9716851063102
Trump,interview,interview,1,119.04657667348427,385.1757467883393
Trump,interview,rally,10,159.6241726347603,507.61100390112284
Trump,interview,rally,9,136.25473556150305,358.7656344551653
Trump,interview,rally,8,138.61519942122086,325.9755687985172
Trump,interview,rally,6,173.2387710858035,895.9349755722627
Trump,interview,rally,7,120.81252240084027,205.01815051238347
Trump,rally,rally,10,118.65023634093302,370.06945447887296
Trump,rally,rally,9,107.34220575482823,245.5805276346726
Trump,rally,rally,8,98.65272928906396,180.26337939462022
Trump,rally,rally,6,123.26088412453426,626.9788142288602
Trump,rally,rally,7,101.71962648916357,295.3960257140125
Trump,rally,interview,5,108.91111462868554,227.5113383010798
Trump,rally,interview,4,140.9625879613993,365.32407152315767
Trump,rally,interview,3,118.27721623778343,226.83699466040952
Trump,rally,interview,2,105.60523272776523,198.71368400023584
Trump,rally,interview,1,122.45080027668538,202.12076556454974
