Subject,Fine-tuning,Speech Category,Transcript ID,AVG Perplexity,Dev. STD
Trump,interview,interview,5,129.12976743335955,179.9026458815827
Trump,interview,interview,4,129.85369741536303,207.15030333661497
Trump,interview,interview,3,136.75885491860964,170.74790404534724
Trump,interview,interview,2,111.9422725877365,147.40963976130567
Trump,interview,interview,1,135.80334408318362,194.58041153090366
Trump,interview,rally,10,149.27368389017764,247.1417970254739
Trump,interview,rally,9,156.11581418690702,243.60688444262775
Trump,interview,rally,8,157.0267792424246,258.1405743719305
Trump,interview,rally,6,165.0367802294623,365.3758751721912
Trump,interview,rally,7,152.36807676342576,221.19954623870805
Trump,rally,rally,10,122.5923599998154,215.80698320835492
Trump,rally,rally,9,122.27195885614533,204.96803974163254
Trump,rally,rally,8,119.8059241444177,179.9901467886878
Trump,rally,rally,6,121.89568193446541,294.53333881762194
Trump,rally,rally,7,109.31793279290665,206.5391160469513
Trump,rally,interview,5,145.4871670571808,179.44742385521607
Trump,rally,interview,4,135.57902275377418,192.35683315213495
Trump,rally,interview,3,155.5910513443146,230.43608281666087
Trump,rally,interview,2,128.0713417423701,199.81942376113554
Trump,rally,interview,1,157.65581064661075,209.02968011730124
